HeartRate,SpO2
0.0,0.0
0.0,0.0
0.0,0.0
22.61,0.0
37.48,0.0
63.06,94.0
66.03,94.0
67.31,96.0
70.76,96.0
70.16,96.0
68.53,97.0
66.07,97.0
65.99,97.0
65.44,97.0
64.46,97.0
64.96,97.0
68.69,97.0
67.05,97.0
65.55,97.0
65.35,97.0
67.07,97.0
67.32,97.0
65.46,97.0
68.49,97.0
67.38,97.0
65.63,97.0
64.58,97.0
66.69,97.0
68.04,97.0
67.25,97.0
68.59,97.0
68.86,97.0
67.08,97.0
68.2,97.0
68.66,97.0
70.34,97.0
70.49,97.0
73.97,97.0
71.39,97.0
68.01,97.0
66.79,97.0
69.5,97.0
66.87,97.0
65.05,97.0
63.1,97.0
69.56,97.0
69.25,97.0
67.68,97.0
65.74,97.0
68.15,97.0
65.92,97.0
65.07,97.0
64.74,97.0
74.58,97.0
72.66,97.0
74.05,97.0
72.51,97.0
68.89,97.0
69.53,97.0
68.29,97.0
67.76,97.0
69.92,97.0
74.56,97.0
71.91,97.0
69.63,97.0
67.36,97.0
69.74,97.0
70.3,97.0
69.01,97.0
67.13,97.0
70.13,97.0
67.55,97.0
66.57,97.0
68.5,97.0
70.23,97.0
67.13,97.0
64.69,97.0
65.91,97.0
66.46,97.0
63.21,97.0
64.44,97.0
66.64,97.0
64.5,97.0
65.78,97.0
69.06,97.0
70.02,97.0
67.97,97.0
71.66,97.0
70.51,97.0
68.62,97.0
68.4,97.0
71.7,97.0
69.87,97.0
71.87,97.0
72.12,97.0
69.7,97.0
68.78,97.0
71.4,97.0
69.06,97.0
68.06,97.0
69.6,97.0
66.9,97.0
65.02,97.0
64.72,97.0
65.49,97.0
63.26,97.0
62.41,97.0
62.86,97.0
65.95,97.0
63.07,97.0
63.12,97.0
66.91,97.0
66.32,97.0
64.39,97.0
62.84,97.0
65.55,97.0
68.96,97.0
66.22,97.0
65.62,97.0
66.73,97.0
65.8,97.0
65.02,97.0
68.77,97.0
67.04,97.0
66.37,97.0
70.79,97.0
70.17,97.0
70.34,97.0
74.15,97.0
69.52,97.0
66.87,97.0
68.11,97.0
68.62,97.0
66.98,97.0
65.1,97.0
68.79,97.0
68.89,97.0
68.0,97.0
66.79,97.0
69.02,97.0
68.99,97.0
68.04,97.0
70.81,97.0
69.21,97.0
66.76,97.0
68.53,97.0
67.45,97.0
66.09,97.0
66.0,97.0
67.59,97.0
64.44,97.0
